featurecla,name,nameascii,adm0cap,worldcity,megacity,adm0name,adm0_a3,adm1name,latitude,longitude,pop_max,pop_min
Admin-0 capital,Wellington,Wellington,1,0,0,New Zealand,NZL,Manawatu-Wanganui,-41.29998785,174.7832659,393400,393400
Admin-0 capital,Hanoi,Hanoi,1,0,1,Vietnam,VNM,Th?íi Nguy?¬n,21.03332725,105.8500142,4378000,1431270
Admin-0 capital,Ankara,Ankara,1,0,1,Turkey,TUR,Ankara,39.92723859,32.86439164,3716000,3307379
Admin-0 capital,Budapest,Budapest,1,1,1,Hungary,HUN,Budapest,47.50000633,19.08332068,1679000,1679000
Admin-0 capital,Sanaa,Sanaa,1,0,1,Yemen,YEM,Amanat Al Asimah,15.3547333,44.20659338,2008000,1835853
Admin-0 capital,Bucharest,Bucharest,1,1,1,Romania,ROU,Bucharest,44.4333718,26.09994665,1942000,1742194
Admin-0 capital,Damascus,Damascus,1,0,1,Syria,SYR,Damascus,33.500034,36.29999589,2466000,2466000
Admin-0 capital,Lisbon,Lisbon,1,1,1,Portugal,PRT,Lisboa,38.72272288,-9.144866305,2812000,517802
Admin-0 capital,Khartoum,Khartoum,1,0,1,Sudan,SDN,Khartoum,15.58807823,32.53417924,4754000,1974647
Admin-0 capital,Oslo,Oslo,1,1,1,Norway,NOR,Oslo,59.91669029,10.74997921,835000,580000
Admin-0 capital,Warsaw,Warsaw,1,1,1,Poland,POL,Masovian,52.25000063,20.99999955,1707000,1702139
Admin-0 capital,Pyongyang,Pyongyang,1,0,1,North Korea,PRK,P'yongyang,39.0194387,125.7546907,3300000,2498797
Admin-0 capital,Dar es Salaam,Dar es Salaam,1,0,1,Tanzania,TZA,Dar-Es-Salaam,-6.800012595,39.26834184,2930000,2698652
Admin-0 capital,Dublin,Dublin,1,1,1,Ireland,IRL,Dublin,53.33306114,-6.248905682,1059000,968976
Admin-0 capital,Monrovia,Monrovia,1,0,1,Liberia,LBR,Montserrado,6.31055666,-10.80475163,1041000,785662
Admin-0 capital,Kuala Lumpur,Kuala Lumpur,1,1,1,Malaysia,MYS,Selangor,3.166665872,101.6999833,1448000,1448000
Admin-0 capital,Havana,Havana,1,0,1,Cuba,CUB,Ciudad de la Habana,23.13195884,-82.36418217,2174000,1990917
Admin-0 capital,Prague,Prague,1,1,1,Czech Republic,CZE,Prague,50.08333701,14.46597978,1162000,2087
Admin-0 capital,Kuwait,Kuwait,1,0,1,Kuwait,KWT,Al Kuwayt,29.36971763,47.97830115,2063000,60064
Admin-0 capital,Santo Domingo,Santo Domingo,1,0,1,Dominican Republic,DOM,Distrito Nacional,18.47007285,-69.90008508,2154000,2873
Admin-0 capital,Accra,Accra,1,0,1,Ghana,GHA,Greater Accra,5.550034606,-0.21671574,2121000,1963264
Admin-0 capital,Tripoli,Tripoli,1,0,1,Libya,LBY,Tajura' wa an Nawahi al Arba,32.89250002,13.18001176,2189000,229398
Admin-0 capital,Helsinki,Helsinki,1,1,1,Finland,FIN,Southern Finland,60.17556337,24.93412634,1115000,558457
Admin-0 capital,K??benhavn,Kobenhavn,1,1,1,Denmark,DNK,Hovedstaden,55.67856419,12.56348575,1085000,1085000
Admin-0 capital,Abidjan,Abidjan,1,0,1,Ivory Coast,CIV,Lagunes,5.319996967,-4.04004826,3802000,3190395
Admin-0 capital,Bras?¡lia,Brasilia,1,0,1,Brazil,BRA,Distrito Federal,-15.78334023,-47.91605229,3716996,2562963
Admin-0 capital,Brussels,Brussels,1,1,1,Belgium,BEL,Brussels,50.83331708,4.333316608,1743000,1019022
Admin-0 capital,Dhaka,Dhaka,1,0,1,Bangladesh,BGD,Dhaka,23.72305971,90.40857947,12797394,7000940
Admin-0 capital,Luanda,Luanda,1,0,1,Angola,AGO,Luanda,-8.838286114,13.23442704,5172900,1951272
Admin-0 capital,Algiers,Algiers,1,0,1,Algeria,DZA,Alger,36.7630648,3.05055253,3354000,1977663
Admin-0 capital,Rangoon,Rangoon,0,0,1,Myanmar,MMR,Yangon,16.7833541,96.16667761,4088000,3301820
Admin-0 capital,Caracas,Caracas,1,1,1,Venezuela,VEN,Distrito Capital,10.50099855,-66.91703719,2985000,1815679
Admin-0 capital,Kiev,Kiev,1,0,1,Ukraine,UKR,Kiev,50.43336733,30.51662797,2709000,1662508
Admin-0 capital,Tashkent,Tashkent,1,0,1,Uzbekistan,UZB,Tashkent,41.31170188,69.29493282,2184000,1978028
Admin-0 capital,Madrid,Madrid,1,1,1,Spain,ESP,Comunidad de Madrid,40.40002626,-3.683351686,5567000,50437
Admin-0 capital,Stockholm,Stockholm,1,1,1,Sweden,SWE,Stockholm,59.35075995,18.09733473,1264000,1253309
Admin-0 capital,Bangkok,Bangkok,1,1,1,Thailand,THA,Bangkok Metropolis,13.74999921,100.5166447,6704000,5104476
Admin-0 capital,Lima,Lima,1,0,1,Peru,PER,Lima,-12.04801268,-77.05006209,8012000,6758234
Admin-0 capital,Dakar,Dakar,1,0,1,Senegal,SEN,Dakar,14.71583173,-17.47313013,2604000,2476400
Admin-0 capital,Johannesburg,Johannesburg,0,1,1,South Africa,ZAF,Gauteng,-26.17004474,28.03000972,3435000,2026469
Admin-0 capital,Amsterdam,Amsterdam,1,1,1,Netherlands,NLD,Noord-Holland,52.34996869,4.916640176,1031000,741636
Admin-0 capital,Seoul,Seoul,1,1,1,South Korea,KOR,Seoul,37.5663491,126.999731,9796000,9796000
Admin-0 capital,Manila,Manila,1,1,1,Philippines,PHL,Metropolitan Manila,14.60415895,120.9822172,11100000,3077575
Admin-0 capital,Berlin,Berlin,1,1,1,Germany,DEU,Berlin,52.52181866,13.40154862,3406000,3094014
Admin-0 capital,Kinshasa,Kinshasa,1,0,1,Congo (Kinshasa),COD,Kinshasa City,-4.329724102,15.31497188,7843000,5565703
Admin-0 capital,New Delhi,New Delhi,1,1,0,India,IND,Delhi,28.60002301,77.19998002,317797,317797
Admin-0 capital,Athens,Athens,1,1,1,Greece,GRC,Attiki,37.98332623,23.73332108,3242000,729137
