count_yr,circle_name,num_sacr,lat,long
1977,Fort Pierce,23,27.43330002,-80.33329773
1977,Gainesville,579,29.60000038,-82.3167038
1977,Gulf Shores,30,30.31669998,-87.63330078
1977,Halifax (east),1,44.68330002,-63.38330078
1977,Jackson County,5,30.42758179,-88.73958588
1977,Kissimmee Valley,50,28.2166996,-81.38330078
1977,Lake Wales,13,27.91670036,-81.51670074
1977,Myakka River S.P.,38,27.23329926,-82.23329926
1977,Okefenokee N.W.R.,34,30.79999924,-82.13330078
1977,Orlando,1,28.5333004,-81.38330078
1977,South Brevard County,20,27.88330078,-80.51670074
1977,Stuart,7,27.18330002,-80.25
1977,Swan Lake N.W.R.,2,39.66669846,-93.21669769
1977,Tampa,7,28.01069069,-82.45952606
1977,Venice-Englewood,3,27,-82.38330078
1977,West Palm Beach,9,26.56669998,-80.09999847
1977,West Volusia County,21,29.04999924,-81.30000305
1977,Zellwood-Mount Dora,55,28.75,-81.61669922
1978,Cocoa,194,28.35000038,-80.69999695
1978,Fort Pierce,12,27.43330002,-80.33329773
1978,Gainesville,338,29.60000038,-82.3167038
1978,Hiwassee,1,35.36669922,-84.90000153
1978,Jackson County,39,30.42758179,-88.73958588
1978,Kissimmee Valley,98,28.2166996,-81.38330078
1978,Lake Wales,14,27.91670036,-81.51670074
1978,Myakka River S.P.,30,27.23329926,-82.23329926
1978,New Port Richey,9,28.25,-82.69999695
1978,North Pinellas,3,28.06669998,-82.73329926
1978,Okefenokee N.W.R.,28,30.79999924,-82.13330078
1978,Sarasota,159,27.29999924,-82.46669769
1978,South Brevard County,14,27.86669922,-80.5667038
1978,Stuart,4,27.18330002,-80.25
1978,Tampa,4,28.01069069,-82.45952606
1978,Venice-Englewood,4,27,-82.38330078
1978,West Palm Beach,5,26.56669998,-80.09999847
1978,West Volusia County,30,29.04999924,-81.30000305
1978,Zellwood-Mount Dora,3,28.75,-81.61669922
1979,Cocoa,11,28.35000038,-80.69999695
1979,Fort Pierce,42,27.43330002,-80.33329773
1979,Gainesville,331,29.60000038,-82.3167038
1979,Gulf Shores,14,30.31669998,-87.63330078
1979,Jackson County,2,30.42758179,-88.73958588
1979,Kissimmee Valley,138,28.2166996,-81.38330078
1979,Lake Wales,21,27.91670036,-81.51670074
1979,Myakka River S.P.,70,27.23329926,-82.23329926
1979,New Port Richey,6,28.25,-82.69999695
1979,North Pinellas,2,28.06669998,-82.73329926
1979,Sarasota,12,27.29999924,-82.46669769
1979,South Brevard County,53,27.86669922,-80.5667038
1979,Stuart,33,27.18330002,-80.25
1979,Tampa,6,28.01069069,-82.45952606
1979,West Volusia County,83,29.04999924,-81.30000305
1980,Bay County,1,30.18330002,-85.66670227
1980,Cocoa,343,28.35000038,-80.69999695
1980,Fort Myers,7,26.5333004,-81.98329926
1980,Fort Pierce,6,27.43330002,-80.33329773
1980,Gainesville,403,29.60000038,-82.3167038
1980,Gulf Shores,3,30.31669998,-87.63330078
1980,Jackson County,11,30.42758179,-88.73958588
1980,Kissimmee Valley,158,28.2166996,-81.38330078
1980,Lakeland,3,28.0333004,-81.84999847
1980,Lake Wales,30,27.91670036,-81.51670074
1980,Myakka River S.P.,49,27.23329926,-82.23329926
1980,New Port Richey,7,28.25,-82.69999695
1980,North Pinellas,5,28.06669998,-82.73329926
1980,Okefenokee N.W.R.,90,30.79999924,-82.13330078
1980,Sarasota,29,27.29999924,-82.46669769
1980,South Brevard County,31,27.86669922,-80.5667038
1980,Stuart,10,27.18330002,-80.25
1980,Tampa,4,28.01069069,-82.45952606
1980,West Palm Beach,16,26.56669998,-80.09999847
1980,West Volusia County,70,29.04999924,-81.30000305
1980,Zellwood-Mount Dora,5,28.75,-81.61669922
1981,Cocoa,33,28.35000038,-80.69999695
1981,Corkscrew Swamp Sanctuary,11,26.36669922,-81.51670074
1981,Fort Pierce,6,27.43330002,-80.33329773
1981,Gainesville,328,29.60000038,-82.3167038
1981,Jackson County,1,30.42758179,-88.73958588
1981,Kissimmee Valley,281,28.2166996,-81.38330078
1981,Lake Wales,49,27.91670036,-81.51670074
1981,Myakka River S.P.,29,27.23329926,-82.23329926
1981,New Port Richey,11,28.25,-82.69999695
1981,North Pinellas,4,28.06669998,-82.73329926
1981,Okefenokee N.W.R.,77,30.79999924,-82.13330078
1981,Sarasota,37,27.29999924,-82.46669769
1981,Shenandoah,1,40.71670151,-95.48329926
1981,South Brevard County,10,27.86669922,-80.5667038
1981,Stuart,23,27.18330002,-80.25
1981,Tampa,2,28.01069069,-82.45952606
1981,Trimble,1,39.46670151,-94.5667038
1981,Venice-Englewood,3,27,-82.38330078
1981,West Palm Beach,5,26.56669998,-80.09999847
1981,West Volusia County,35,29.04999924,-81.30000305
1981,Zellwood-Mount Dora,8,28.75,-81.61669922
1982,Brooksville,3,28.54999924,-82.3167038
1982,Cocoa,36,28.35000038,-80.69999695
1982,Corkscrew Swamp Sanctuary,10,26.36669922,-81.51670074
1982,Fort Pierce,16,27.43330002,-80.33329773
1982,Gainesville,1469,29.60000038,-82.3167038
1982,Gulf Shores,7,30.31669998,-87.63330078
1982,Jackson County,11,30.42758179,-88.73958588
1982,Kissimmee Valley,63,28.2166996,-81.38330078
1982,Lake Wales,26,27.91670036,-81.51670074
1982,Myakka River S.P.,69,27.23329926,-82.23329926
1982,New Port Richey,21,28.25,-82.69999695
1982,North Pinellas,7,28.06669998,-82.73329926
1982,Orlando,1,28.5333004,-81.38330078
1982,Raven Rock S.P.,1,35.43330002,-78.83329773
1982,Sarasota,62,27.29999924,-82.46669769
1982,Singing Forest,15,28.7833004,-82.28330231
1982,South Brevard County,8,27.86669922,-80.5667038
1982,Stuart,15,27.18330002,-80.25
1982,Tampa,10,28.01069069,-82.45952606
1982,Venice-Englewood,3,27,-82.38330078
1982,West Palm Beach,2,26.56669998,-80.09999847
1982,West Volusia County,27,29.04999924,-81.30000305
1983,Boca Grande,2,26.75,-82.26670074
1983,Cocoa,59,28.35000038,-80.69999695
1983,Corkscrew Swamp Sanctuary,16,26.36669922,-81.51670074
1983,Fort Pierce,9,27.43330002,-80.33329773
1983,Gainesville,432,29.60000038,-82.3167038
1983,Jackson County,8,30.42758179,-88.73958588
1983,Kissimmee Valley,399,28.2166996,-81.38330078
1983,Lake Wales,104,27.91670036,-81.51670074
1983,Marshall,1,42.34999847,-84.98329926
1983,Myakka River S.P.,101,27.23329926,-82.23329926
1983,Naples,2,26.13330078,-81.78330231
1983,New Port Richey,18,28.25,-82.69999695
1983,North Pinellas,3,28.06669998,-82.73329926
1983,Prairie Lakes State Preserve,44,27.89999962,-81.13330078
1983,Santee N.W.R.,3,33.48329926,-80.36669922
1983,Sarasota,43,27.29999924,-82.46669769
1983,South Brevard County,8,27.86669922,-80.5667038
1983,Squaw Creek N.W.R.,1,40.08330154,-95.26670074
1983,Stuart,14,27.18330002,-80.25
1983,Tampa,2,28.01069069,-82.45952606
1983,Venice-Englewood,6,27,-82.38330078
1983,West Palm Beach,4,26.56669998,-80.09999847
1983,West Volusia County,15,29.04999924,-81.30000305
1984,Albany,6,31.43330002,-84.41670227
1984,Atlanta,144,33.96670151,-84.66670227
1984,Boca Grande,2,26.75,-82.26670074
1984,Brooksville,5,28.54999924,-82.3167038
1984,Cape Cod,1,41.72066498,-69.99677277
1984,Chattahoochee National Forest Songbird M.A.,11,34.88330078,-84.65000153
1984,Cocoa,183,28.35000038,-80.69999695
1984,Columbus,28,32.59999847,-85
1984,Corkscrew Swamp Sanctuary,20,26.36669922,-81.51670074
1984,Dalton,19,34.76670074,-84.96669769
1984,Econlockhatchee,103,28.70000076,-81.13330078
1984,Eufaula N.W.R.,1,32,-85.08329773
1984,Fort Pierce,3,27.43330002,-80.33329773
1984,Gainesville,694,29.60000038,-82.3167038
1984,Grand Lake-St. Marys,19,40.51670074,-84.5
1984,Gulf Shores,18,30.31669998,-87.63330078
1984,Jackson County,24,30.42758179,-88.73958588
1984,Kissimmee Valley,526,28.2166996,-81.38330078
1984,Lakeland,3,28.0333004,-81.84999847
1984,Lake Wales,28,27.91670036,-81.51670074
1984,Lehigh Valley,1,40.54999924,-75.59999847
1984,Marshall,2,42.34999847,-84.98329926
1984,Myakka River S.P.,8,27.23329926,-82.23329926
1984,Naples,1,26.13330078,-81.78330231
1984,New Port Richey,12,28.25,-82.69999695
1984,North Pinellas,4,28.06669998,-82.73329926
1984,Okefenokee N.W.R.,188,30.79999924,-82.13330078
1984,Otter Creek Park,2,37.90000153,-86.0667038
1984,Piedmont N.W.R.,23,33.04999924,-83.71669769
1984,Prairie Lakes State Preserve,65,27.89999962,-81.13330078
1984,Sarasota,44,27.29999924,-82.46669769
1984,Singing Forest,4,28.7833004,-82.28330231
1984,South Brevard County,21,27.86669922,-80.5667038
1984,Stuart,35,27.18330002,-80.25
1984,Tampa,2,28.01069069,-82.45952606
1984,Thorn Creek-Park Forest,3,41.45000076,-87.73329926
1984,Venice-Englewood,4,27,-82.38330078
1984,West Volusia County,8,29.04999924,-81.30000305
1984,Zellwood-Mount Dora,2,28.75,-81.61669922
1985,Bradenton,3,27.5,-82.55000305
1985,Brooksville,6,28.54999924,-82.3167038
1985,Cocoa,164,28.35000038,-80.69999695
1985,Corkscrew Swamp Sanctuary,9,26.36669922,-81.51670074
1985,Danville,15,37.63330078,-84.76670074
1985,Econlockhatchee,60,28.70000076,-81.13330078
1985,Fort Pierce,13,27.43330002,-80.33329773
1985,Gainesville,1411,29.60000038,-82.3167038
1985,Gulf Shores,33,30.31669998,-87.63330078
1985,Indian Lake,6,40.48329926,-83.91670227
1985,Jackson County,26,30.42758179,-88.73958588
1985,Johnson County,1,39.40000153,-86.0667038
1985,Kissimmee Valley,196,28.2166996,-81.38330078
1985,Lakeland,3,28.0333004,-81.84999847
1985,Lake Wales,43,27.91670036,-81.51670074
1985,Marshall,2,42.34999847,-84.98329926
1985,Montrose Lake Wildlife Area,1,38.25,-93.8167038
1985,Myakka River S.P.,80,27.23329926,-82.23329926
1985,Nashville,2,36.04999924,-86.9332962
1985,New Castle,17,39.91669846,-85.36669922
1985,New Port Richey,25,28.25,-82.69999695
1985,North Pinellas,4,28.06669998,-82.73329926
1985,Okefenokee N.W.R.,62,30.79999924,-82.13330078
1985,Pere Marquette Park,1,39,-90.59999847
1985,Sarasota,92,27.29999924,-82.46669769
1985,Singing Forest,7,28.7833004,-82.28330231
1985,South Brevard County,14,27.86669922,-80.5667038
1985,Stuart,21,27.18330002,-80.25
1985,Tampa,8,28.01069069,-82.45952606
1985,Venice-Englewood,10,27,-82.38330078
1985,West Volusia County,10,29.04999924,-81.30000305
1986,Bradenton,7,27.5,-82.55000305
1986,Brooksville,6,28.54999924,-82.3167038
1986,Cocoa,67,28.35000038,-80.69999695
1986,Columbus,1,39.20000076,-85.9332962
1986,Corkscrew Swamp Sanctuary,116,26.36669922,-81.51670074
1986,Fort Pierce,37,27.43330002,-80.33329773
1986,Gainesville,1385,29.60000038,-82.3167038
1986,Gulf Shores,18,30.31669998,-87.63330078
1986,Hiwassee,18,35.36669922,-84.90000153
1986,Jackson County,26,30.42758179,-88.73958588
1986,Kissimmee Valley,215,28.2166996,-81.38330078
1986,Lakeland,2,28.0333004,-81.84999847
1986,Lake Wales,155,27.91670036,-81.51670074
1986,Myakka River S.P.,133,27.23329926,-82.23329926
1986,Okefenokee N.W.R.,53,30.79999924,-82.13330078
1986,Sarasota,21,27.29999924,-82.46669769
1986,Singing Forest,7,28.7833004,-82.28330231
1986,South Brevard County,12,27.86669922,-80.5667038
1986,Southern Lake County,1,41.31669998,-87.30000305
1986,Stuart,21,27.18330002,-80.25
1986,Tampa,2,28.01069069,-82.45952606
1986,Tensas River N.W.R.,4,32.28329849,-91.36669922
1986,Union County,1,37.46670151,-89.40000153
1986,Venice-Englewood,6,27,-82.38330078
1986,West Palm Beach,2,26.56669998,-80.09999847
1986,West Volusia County,4,29.04999924,-81.30000305
1987,Albany,2,31.43330002,-84.41670227
1987,Boca Grande,2,26.75,-82.26670074
1987,Bradenton,7,27.5,-82.55000305
1987,Brooksville,9,28.54999924,-82.3167038
1987,Cape May,1,39.01670074,-74.86669922
1987,Chattanooga,1,35.09999847,-85.23329926
1987,Cocoa,47,28.35000038,-80.69999695
1987,Corkscrew Swamp Sanctuary,11,26.36669922,-81.51670074
1987,Econlockhatchee,115,28.70000076,-81.13330078
1987,Eufaula N.W.R.,7,32,-85.08329773
1987,Fort Myers,2,26.5333004,-81.98329926
1987,Fort Pierce,35,27.43330002,-80.33329773
1987,Gainesville,1452,29.60000038,-82.3167038
1987,Gulf Shores,26,30.31669998,-87.63330078
1987,Hiwassee,104,35.36669922,-84.90000153
1987,Jackson County,22,30.42758179,-88.73958588
1987,Kissimmee Valley,259,28.2166996,-81.38330078
1987,Lakeland,5,28.0333004,-81.84999847
1987,Lake Monroe,1,39.01670074,-86.36669922
1987,Lake Wales,164,27.91670036,-81.51670074
1987,Myakka River S.P.,75,27.23329926,-82.23329926
1987,New Port Richey,12,28.25,-82.69999695
1987,North Pinellas,11,28.06669998,-82.73329926
1987,Okefenokee N.W.R.,131,30.79999924,-82.13330078
1987,"Ortona, Glades County",29,26.86669922,-81.3167038
1987,Point Pelee,1,42.01864624,-82.52651215
1987,Posey County,1,37.88330078,-87.94999695
1987,Sarasota,21,27.29999924,-82.46669769
1987,Singing Forest,7,28.7833004,-82.28330231
1987,South Brevard County,5,27.86669922,-80.5667038
1987,Stevens Point,1,44.51670074,-89.5667038
1987,St. Marks,1,30.13330078,-84.21669769
1987,Stuart,26,27.18330002,-80.25
1987,Tampa,4,28.01069069,-82.45952606
1987,Venice-Englewood,13,27,-82.38330078
1987,Western Hamilton County,1,39.20000076,-84.63330078
1987,West Palm Beach,10,26.56669998,-80.09999847
1987,West Volusia County,23,29.04999924,-81.30000305
1988,Ann Arbor,1,42.31669998,-83.76670074
1988,Augusta,1,33.43330002,-82
1988,Bradenton,5,27.5,-82.55000305
1988,Brooksville,12,28.54999924,-82.3167038
1988,Cocoa,269,28.35000038,-80.69999695
1988,Columbus,4,39.20000076,-85.9332962
1988,Cookeville,147,36.15000153,-85.46669769
1988,Corkscrew Swamp Sanctuary,6,26.36669922,-81.51670074
1988,Cross Creeks N.W.R.,8,36.46670151,-87.75
1988,Crystal River,2,28.91670036,-82.5667038
1988,Dalton,6,34.76670074,-84.96669769
1988,Econlockhatchee,112,28.70000076,-81.13330078
1988,Eufaula N.W.R.,1,32,-85.08329773
1988,Fort Pierce,22,27.43330002,-80.33329773
1988,Gainesville,2030,29.60000038,-82.3167038
1988,Garrison Dam,1,47.51670074,-101.3167038
1988,Greensboro,3,36.11629868,-79.83699799
1988,Gulf Shores,12,30.31669998,-87.63330078
1988,Hiwassee,16,35.36669922,-84.90000153
1988,Jackson County,20,30.42758179,-88.73958588
1988,Johnson County,1,39.40000153,-86.0667038
1988,Kissimmee Valley,395,28.2166996,-81.38330078
1988,Lakeland,11,28.0333004,-81.84999847
1988,Lake Placid,325,27.2601223,-81.34409332
1988,Lake Wales,83,27.91670036,-81.51670074
1988,Marianna,1,30.7166996,-85.26670074
1988,Mattamuskeet N.W.R.,1,35.45000076,-76.13330078
1988,McClellanville,3,33.08330154,-79.41670227
1988,Myakka River S.P.,49,27.23329926,-82.23329926
1988,New Port Richey,17,28.25,-82.69999695
1988,North Pinellas,3,28.06669998,-82.73329926
1988,Okefenokee N.W.R.,60,30.79999924,-82.13330078
1988,"Ortona, Glades County",53,26.86669922,-81.3167038
1988,Peace River,14,26.91670036,-82.03330231
1988,Peachtree City,3,33.34999847,-84.61669922
1988,Pine Prairie,3,30.79999924,-92.34999847
1988,Plymouth,2,41.28329849,-86.36669922
1988,Rochester,1,44.06669998,-92.5
1988,Sarasota,84,27.29999924,-82.46669769
1988,Singing Forest,2,28.7833004,-82.28330231
1988,South Brevard County,40,27.86669922,-80.5667038
1988,St. Catherines Island,5,31.63513184,-81.12263489
1988,Stevens Point,1,44.51670074,-89.5667038
1988,Stuart,63,27.18330002,-80.25
1988,Tampa,6,28.01069069,-82.45952606
1988,Trumbull County,1,41.38330078,-80.84999847
1988,Venice-Englewood,30,27,-82.38330078
1988,Waterloo State Recreation Area,10,42.31669998,-84.21669769
1988,West Palm Beach,2,26.56669998,-80.09999847
1988,West Volusia County,50,29.04999924,-81.30000305
1988,Willow Slough-Iroquois Preserves,1,40.98329926,-87.48329926
1989,Albany,6,31.43330002,-84.41670227
1989,Bradenton,2,27.5,-82.55000305
1989,Brooksville,34,28.54999924,-82.3167038
1989,Buffalo River,1,35.29999924,-87.46669769
1989,Cocoa,85,28.35000038,-80.69999695
1989,Cookeville,69,36.15000153,-85.46669769
1989,Corkscrew Swamp Sanctuary,12,26.36669922,-81.51670074
1989,Econlockhatchee,103,28.70000076,-81.13330078
1989,Eufaula N.W.R.,3,32,-85.08329773
1989,Fort Myers,1,26.5333004,-81.98329926
1989,Fort Pierce,42,27.43330002,-80.33329773
1989,Gainesville,1279,29.60000038,-82.3167038
1989,Hiwassee,26,35.36669922,-84.90000153
1989,Jackson County,37,30.42758179,-88.73958588
1989,Kissimmee Valley,180,28.2166996,-81.38330078
1989,Lafayette,4,40.45000076,-86.90000153
1989,Lakeland,10,28.0333004,-81.84999847
1989,Lake Placid,485,27.2601223,-81.34409332
1989,Lake Wales,32,27.91670036,-81.51670074
1989,Myakka River S.P.,118,27.23329926,-82.23329926
1989,New Port Richey,12,28.25,-82.69999695
1989,North Pinellas,6,28.06669998,-82.73329926
1989,Okefenokee N.W.R.,148,30.79999924,-82.13330078
1989,"Ortona, Glades County",68,26.86669922,-81.3167038
1989,Peace River,23,26.91670036,-82.03330231
1989,Sarasota,72,27.29999924,-82.46669769
1989,Saylorville Reservoir,1,41.79999924,-93.75
1989,Seneca,1,39.06669998,-77.33329773
1989,Singing Forest,2,28.7833004,-82.28330231
1989,South Brevard County,12,27.86669922,-80.5667038
1989,Spirit Lake,2,43.41669846,-95.09999847
1989,St. Catherines Island,15,31.63513184,-81.12263489
1989,Stuart,29,27.18330002,-80.25
1989,Tampa,8,28.01069069,-82.45952606
1989,Venice-Englewood,35,27,-82.38330078
1989,West Palm Beach,5,26.56669998,-80.09999847
1989,West Volusia County,39,29.04999924,-81.30000305
1989,Zellwood-Mount Dora,6,28.75,-81.61669922
1990,Boca Grande,2,26.75,-82.26670074
1990,Bradenton,9,27.5,-82.55000305
1990,Brooksville,31,28.54999924,-82.3167038
1990,Cocoa,18,28.35000038,-80.69999695
1990,Corkscrew Swamp Sanctuary,22,26.36669922,-81.51670074
1990,Crowley,1,30.20000076,-92.59999847
1990,Crystal River,3,28.91670036,-82.5667038
1990,Dalton,1,34.76670074,-84.96669769
1990,East Pasco,127,28.31030655,-82.23740387
1990,Econlockhatchee,100,28.70000076,-81.13330078
1990,Fort Pierce,11,27.43330002,-80.33329773
1990,Gainesville,2552,29.60000038,-82.3167038
1990,Gulf Shores,31,30.31669998,-87.63330078
1990,Hamilton County,1,30.43330002,-82.76670074
1990,Hiwassee,50,35.36669922,-84.90000153
1990,Jackson County,26,30.42758179,-88.73958588
1990,Kissimmee Valley,300,28.2166996,-81.38330078
1990,Lakeland,2,28.0333004,-81.84999847
1990,Lake Monroe,93,39.01670074,-86.36669922
1990,Lake Placid,560,27.2601223,-81.34409332
1990,Lake Wales,121,27.91670036,-81.51670074
1990,Myakka River S.P.,97,27.23329926,-82.23329926
1990,North Pinellas,2,28.06669998,-82.73329926
1990,Okefenokee N.W.R.,272,30.79999924,-82.13330078
1990,"Ortona, Glades County",148,26.86669922,-81.3167038
1990,Peace River,6,26.91670036,-82.03330231
1990,Peachtree City,145,33.34999847,-84.61669922
1990,Pine Prairie,2,30.79999924,-92.34999847
1990,Sarasota,29,27.29999924,-82.46669769
